,Date,no_of_cases
546,2021-07-21,55331
547,2021-07-22,55365
548,2021-07-23,55394
549,2021-07-24,55394
550,2021-07-25,55394
551,2021-07-26,55479
552,2021-07-27,55529
553,2021-07-28,55580
554,2021-07-29,55649
555,2021-07-30,55726
556,2021-07-31,55726
557,2021-08-01,55726
558,2021-08-02,55891
559,2021-08-03,55960
560,2021-08-04,56030
561,2021-08-05,56111
562,2021-08-06,56194
563,2021-08-07,56194
564,2021-08-08,56194
565,2021-08-09,56399
566,2021-08-10,56499
567,2021-08-11,56612
568,2021-08-12,56734
569,2021-08-13,56832
570,2021-08-14,56832
571,2021-08-15,56832
572,2021-08-16,57069
573,2021-08-17,57177
574,2021-08-18,57283
575,2021-08-19,57396
576,2021-08-20,57526
577,2021-08-21,57526
578,2021-08-22,57526
579,2021-08-23,57769
580,2021-08-24,57876
581,2021-08-25,58005
582,2021-08-26,58139
583,2021-08-27,58256
584,2021-08-28,58256
585,2021-08-29,58256
586,2021-08-30,58560
587,2021-08-31,58718
588,2021-09-01,58877
589,2021-09-02,59006
590,2021-09-03,59138
591,2021-09-04,59138
592,2021-09-05,59138
593,2021-09-06,59138
594,2021-09-07,59529
595,2021-09-08,59610
596,2021-09-09,59769
597,2021-09-10,59862
598,2021-09-11,59862
599,2021-09-12,59862
600,2021-09-13,60148
601,2021-09-14,60263
602,2021-09-15,60419
603,2021-09-16,60546
604,2021-09-17,60682
605,2021-09-18,60682
606,2021-09-19,60682
607,2021-09-20,60967
608,2021-09-21,61057
609,2021-09-22,61179
610,2021-09-23,61267
611,2021-09-24,61376
612,2021-09-25,61376
613,2021-09-26,61376
614,2021-09-27,61639
615,2021-09-28,61734
616,2021-09-29,61833
617,2021-09-30,61933
618,2021-10-01,62042
619,2021-10-02,62042
620,2021-10-03,62042
621,2021-10-04,62259
622,2021-10-05,62344
623,2021-10-06,62455
624,2021-10-07,62561
625,2021-10-08,62712
626,2021-10-09,62712
627,2021-10-10,62712
628,2021-10-11,62712
629,2021-10-12,63067
630,2021-10-13,63203
631,2021-10-14,63309
632,2021-10-15,63429
633,2021-10-16,63429
634,2021-10-17,63429
635,2021-10-18,63638
636,2021-10-19,63813
637,2021-10-20,63904
638,2021-10-21,64003
639,2021-10-22,64109
640,2021-10-23,64109
641,2021-10-24,64109
642,2021-10-25,64353
643,2021-10-26,64433
644,2021-10-27,64536
645,2021-10-28,64536
646,2021-10-29,64746
647,2021-10-30,64746
648,2021-10-31,64746
649,2021-11-01,64984
650,2021-11-02,65088
651,2021-11-03,65214
652,2021-11-04,65328
653,2021-11-05,65426
654,2021-11-06,65426
655,2021-11-07,65426
656,2021-11-08,65679
657,2021-11-09,65768
658,2021-11-10,65886
659,2021-11-11,65886
660,2021-11-12,66109
661,2021-11-13,66109
662,2021-11-14,66109
663,2021-11-15,66478
664,2021-11-16,66612
665,2021-11-17,66802
666,2021-11-18,67009
667,2021-11-19,67156
668,2021-11-20,67156
669,2021-11-21,67156
670,2021-11-22,67626
671,2021-11-23,67867
672,2021-11-24,68047
673,2021-11-25,68047
674,2021-11-26,68351
675,2021-11-27,68351
676,2021-11-28,68351
677,2021-11-29,68723
678,2021-11-30,68959
679,2021-12-01,69317
680,2021-12-02,69666
681,2021-12-03,70012
682,2021-12-04,70012
683,2021-12-05,70012
684,2021-12-06,70817
685,2021-12-07,71192
686,2021-12-08,71595
687,2021-12-09,72023
688,2021-12-10,72378
689,2021-12-11,72378
690,2021-12-12,72378
691,2021-12-13,73260
692,2021-12-14,73583
693,2021-12-15,73895
694,2021-12-16,74358
695,2021-12-17,74907
696,2021-12-18,74907
697,2021-12-19,74907
698,2021-12-20,75997
699,2021-12-21,76621
700,2021-12-22,77328
701,2021-12-23,78149
702,2021-12-24,79015
703,2021-12-25,79015
704,2021-12-26,79015
705,2021-12-27,80210
706,2021-12-28,81213
707,2021-12-29,82736
708,2021-12-30,84862
709,2021-12-31,86849
